TB,Pad8593,Pad8595,Pad7934,Pad6689,Pad9164
167,2.72696,1.36722,0.269322,-0.443634,18.7936
168,3.62434,2.03802,-0.54582,-0.605084,15.5139
169,4.4051,3.36422,-1.31488,-0.450575,12.8032
170,4.58571,4.02392,-1.05569,-0.330736,10.0254
171,4.5857,3.43081,-0.0310596,-0.386842,7.7314
172,5.30478,2.34514,0.395265,-0.312099,6.04323
173,6.9007,2.1513,-0.348392,0.136654,5.40022
174,9.10941,2.61317,-1.13669,0.836647,5.45478
175,11.8565,3.04218,-0.74255,0.607951,4.80478
176,15.8645,3.58583,0.0846693,-0.150431,3.34979
177,23.1102,4.32613,0.141674,-0.660237,2.34682
178,34.2414,4.91784,-0.586952,-0.726288,2.66765
179,47.9212,5.89183,-1.09855,-0.580676,3.6744
180,64.1419,7.85655,-0.904175,-0.564044,4.25926
181,84.656,11.0226,-0.293619,-0.475979,4.41257
182,110.105,15.7021,0.15061,-0.117487,4.42387
183,138.957,21.9109,0.0575081,0.157282,4.28215
184,167.459,29.5037,-0.479221,-0.0129139,4.0064
185,191.098,39.1477,-0.999987,-0.485411,3.2737
186,207.551,51.4557,-0.898059,-1.00897,2.41605
187,216.768,67.0903,-0.0814322,-0.956064,2.09028
188,219.434,86.0777,0.680056,-0.234376,2.53712
189,215.305,107.422,0.675607,0.188999,3.42648
190,203.091,129.514,0.346403,-0.0162357,3.78477
191,182.781,150.082,0.396887,-0.365919,3.42144
192,157.83,166.741,0.242963,-0.426511,2.9726
193,132.339,177.641,-0.523976,-0.0744249,2.90204
194,107.904,180.956,-1.10286,0.558928,2.87197
195,84.7513,175.849,-0.618032,0.528897,2.77911
196,63.6964,164.991,0.271567,-0.255696,2.7351
197,45.9548,151.691,0.817027,-0.532978,2.86421
198,32.7066,136.286,0.926051,-0.151598,3.39973
199,24.2631,117.886,0.562251,0.194529,3.51822
200,19.0149,97.1468,0.164553,0.141341,2.47919
201,14.6521,76.6001,0.0549254,-0.124986,1.36288
202,10.4448,58.3351,0.235881,-0.256219,1.72754
203,6.67575,43.4893,0.938731,0.0966143,3.46241
204,3.85306,32.357,2.0715,0.47711,4.77283
205,2.60996,24.4364,2.25624,0.592978,4.54556
206,2.48583,18.4384,1.26848,0.393404,3.16781
207,3.07841,13.4066,0.581057,-0.0985848,1.56787
208,3.42712,9.52138,0.788129,-0.422516,0.842601
209,2.95569,6.63899,1.50484,-0.107421,1.61691
210,2.32201,4.40461,2.58351,0.771617,2.75325
211,2.01651,2.69093,4.26618,1.39107,3.3627
212,1.91874,1.6776,6.53736,1.15505,3.47824
213,1.72131,1.63292,9.02962,0.870156,3.60111
214,1.77951,2.19677,11.9049,0.729161,3.35068
215,1.84363,2.00814,15.8049,0.278275,2.41113
216,2.019,1.21213,21.1958,-0.22591,1.76496
217,2.34827,0.962208,28.5683,-0.570054,2.23635
218,2.35922,1.06261,38.5576,-0.429431,2.92706
219,1.6601,0.791119,51.4525,0.0186905,2.61327
220,1.30014,-0.111521,65.8683,0.310096,2.0435
221,1.94254,-0.536511,79.5963,0.275249,1.90123
222,2.48318,0.164782,92.1966,0.303658,2.09917
223,1.99755,1.1586,103.979,0.389473,1.85956
224,1.16242,1.43132,114.798,0.550803,1.22582
225,1.62344,1.08347,123.797,0.822466,1.05283
226,2.71289,1.08236,129.375,0.496727,1.79426
227,2.95721,1.38565,130.748,-0.510573,2.42391
228,2.36356,1.73543,127.403,-1.49995,2.44925
229,1.8777,1.59038,118.879,-1.32757,2.3018
230,1.87293,0.813265,105.591,0.334576,2.0723
231,2.13482,0.166559,89.7096,2.00008,1.96174
232,2.28328,-0.0650929,74.7329,1.87405,1.96972
233,2.31784,0.414306,62.6985,0.261148,1.87426
234,2.04071,1.1471,52.6986,-0.871883,1.78953
235,1.53014,1.22873,43.1802,-0.601095,1.86006
236,1.76846,0.424069,34.0013,0.381994,2.00014
237,2.53883,-0.21186,25.9386,1.07255,2.22255
238,2.5853,-0.0284472,19.5309,0.99359,2.29575
239,1.89137,0.498685,14.7772,0.462272,1.85008
240,1.55482,1.02746,10.9178,0.387867,1.3769
241,2.02298,1.59768,7.82425,1.04842,1.80392
242,2.65687,2.15365,6.1801,1.23007,2.28345
243,2.96031,2.21244,6.0047,0.354451,1.54949
244,2.50607,1.79528,6.21558,-0.174781,0.467414
245,1.43841,1.3404,5.38233,0.382939,0.792864
246,0.810659,1.09849,3.17812,1.43806,2.02018
247,0.936091,0.910703,1.10048,1.89849,2.47048
248,1.62247,0.736003,0.471535,1.66109,1.70734
249,2.27626,0.765646,0.983219,1.39078,0.57025
250,2.28021,0.937704,1.2725,1.01994,0.00509273
251,1.79478,0.975321,0.712377,0.75918,0.515483
252,1.58694,1.04255,-0.0398678,0.796547,2.03813
253,1.59393,1.35483,-0.495636,0.896032,3.20899
254,1.50521,1.60898,-0.529968,0.807255,2.82725
255,1.25467,1.42233,-0.399081,0.70927,1.74719
256,1.44451,1.01544,-0.382782,0.698433,1.41395
257,2.114,1.03845,-0.224001,0.632049,1.91505
258,2.35507,1.43587,-0.129417,0.654024,2.06676
259,1.73441,1.66487,-0.295731,0.913534,1.30772
260,1.27209,1.27098,-0.852566,1.29403,0.428565
261,1.53245,0.605544,-1.4204,1.66808,0.32156
262,2.03382,0.602649,-1.41574,1.60673,0.818842
263,2.32816,1.22221,-0.778885,1.34553,1.26852
264,2.52777,1.80998,-0.137777,1.11139,1.64176
265,2.4571,2.00479,-0.065028,1.47542,1.91307
266,1.95212,1.29856,-0.290502,2.00851,1.57003
