Pad,CoBo,Asad,Aget,Ch
772,0,2,2,40
773,0,2,2,36
774,0,2,2,62
775,0,2,2,26
776,0,2,2,58
777,0,2,2,66
778,0,2,2,24
779,0,2,3,4
780,0,2,2,19
781,0,2,3,19
782,0,2,3,8
783,0,2,3,21
784,0,2,3,15
785,0,2,1,2
786,0,2,3,24
787,0,2,3,28
788,0,2,3,26
789,0,3,3,33
790,0,2,3,38
791,0,3,3,41
792,0,2,3,44
793,0,2,3,53
794,0,3,3,48
795,0,2,3,60
796,0,3,3,57
797,0,3,3,63
798,0,2,2,0
799,0,3,2,1
800,0,3,2,5
801,0,3,2,16
802,0,3,2,9
803,0,3,2,20
804,0,3,2,18
805,0,3,2,25
806,0,3,2,29
807,0,3,2,31
808,0,3,2,39
809,0,3,2,43
810,0,3,2,42
811,0,3,2,50
812,0,3,2,49
813,0,3,2,55
814,0,3,2,59
815,0,3,2,66
816,0,3,2,65
817,0,3,1,4
818,0,3,1,0
819,0,3,1,6
820,0,3,1,2
821,0,3,1,8
822,0,3,1,9
823,0,3,1,36
824,0,3,0,23
825,0,3,1,13
826,0,3,0,57
827,0,3,1,15
828,0,3,0,21
829,0,3,0,10
830,0,3,1,17
831,0,3,0,34
832,0,3,1,24
833,0,3,1,53
834,0,3,0,42
835,0,3,1,38
836,0,3,0,49
837,0,3,0,53
838,0,3,1,64
839,0,3,0,62
840,0,3,0,0
841,0,3,0,60
842,0,3,0,67
843,6,0,2,65
844,6,0,2,52
845,6,0,2,46
846,6,0,2,63
847,6,0,2,41
848,6,0,2,61
849,6,0,2,59
850,6,0,2,37
851,6,0,2,57
852,6,0,2,31
853,6,0,2,23
854,6,0,2,54
855,6,0,2,16
856,6,0,2,27
857,6,1,3,63
858,6,1,2,5
859,6,0,2,64
860,6,0,2,49
861,6,0,3,0
862,6,0,3,7
863,6,0,3,25
864,6,0,3,39
865,6,0,3,57
866,6,0,2,3
867,6,0,2,18
868,6,0,2,35
869,6,0,2,50
870,6,0,2,67
871,6,0,1,7
872,6,0,1,12
873,6,0,1,10
874,6,0,1,27
875,6,0,1,41
876,6,0,1,58
877,6,0,0,4
878,6,0,0,21
879,6,0,0,36
880,6,0,0,53
881,6,0,0,67
882,8,3,0,66
883,8,3,0,53
884,8,3,0,38
885,8,3,0,24
886,8,3,0,6
887,8,3,1,60
888,8,3,1,44
889,8,3,1,26
890,8,3,1,15
891,8,3,0,39
892,8,3,1,25
893,8,3,1,29
894,8,2,0,64
895,8,2,3,30
896,8,3,1,7
897,8,3,1,5
898,8,3,1,3
899,8,2,1,0
900,8,2,2,58
901,8,2,2,47
902,8,2,2,40
903,8,2,2,32
904,8,2,2,26
905,8,2,2,19
906,8,2,2,10
907,8,2,2,0
908,8,2,3,60
909,8,3,1,6
910,8,3,1,4
911,2,0,0,29
912,8,3,1,2
913,2,0,0,23
914,2,0,0,16
915,2,0,0,12
916,2,0,0,7
917,2,0,0,3
918,2,0,1,65
919,2,0,0,1
920,2,0,1,57
921,2,0,1,62
922,2,0,1,53
923,2,0,1,48
924,2,0,1,47
925,2,0,1,39
926,2,0,1,33
927,2,0,1,38
928,2,0,1,27
929,2,0,1,30
930,2,0,1,24
931,2,0,1,18
932,2,0,1,17
933,2,0,1,19
934,2,0,1,15
935,2,0,1,10
936,2,0,1,55
937,2,0,1,13
938,2,0,1,32
939,2,0,1,0
940,2,0,1,6
941,2,0,1,2
942,2,0,1,8
943,2,1,1,5
944,2,0,1,4
945,2,1,1,3
946,2,1,2,67
947,2,0,2,64
948,2,1,2,59
949,2,0,2,55
950,2,0,2,49
951,2,1,2,52
952,2,1,2,41
953,2,1,2,46
954,2,1,2,37
955,2,1,2,33
956,2,1,2,31
957,2,1,2,27
958,2,1,2,20
959,2,1,2,29
960,2,1,2,9
961,2,1,2,10
962,2,1,2,8
963,2,1,2,3
964,2,1,2,0
965,2,1,3,65
966,2,1,3,61
967,2,1,3,60
968,2,1,3,40
969,2,1,3,53
970,2,1,3,42
971,2,1,3,36
972,2,1,3,38
973,2,1,3,34
974,2,1,3,32
975,2,1,3,30
976,2,1,3,8
977,2,1,3,24
978,2,1,0,7
979,2,1,3,6
980,2,1,0,3
981,2,1,3,4
982,2,1,3,0
983,2,1,1,65
984,2,1,3,2
985,2,1,1,61
986,2,1,1,57
987,2,1,2,30
988,2,1,1,52
989,2,1,0,16
990,2,1,0,12
991,2,1,1,48
992,2,1,0,9
993,4,2,1,13
994,4,2,1,15
995,4,2,1,19
996,4,2,2,14
997,4,2,1,21
998,4,2,1,24
999,4,2,3,43
1000,4,2,3,48
1001,4,2,3,23
1002,4,2,3,36
1003,4,2,3,25
1004,4,2,2,8
1005,4,2,3,9
1006,4,2,3,64
1007,0,0,0,21
1008,0,0,2,1
1009,0,0,2,3
1010,0,0,3,57
1011,0,0,3,52
1012,0,0,3,12
1013,0,0,3,9
1014,0,0,3,25
1015,0,0,3,27
1016,0,0,2,38
1017,0,0,3,6
1018,0,0,2,24
1019,0,0,3,51
1020,0,0,2,2
1021,0,0,2,8
1022,0,0,3,30
1023,0,1,3,29
1024,0,1,2,7
1025,0,1,2,1
1026,0,1,2,23
1027,0,1,3,50
1028,0,1,3,5
1029,0,1,2,37
1030,0,1,3,26
1031,0,1,3,28
1032,0,1,3,10
1033,0,1,3,13
1034,0,1,3,58
1035,0,1,3,53
1036,0,1,2,4
1037,0,1,2,2
1038,2,3,3,63
1039,0,1,0,20
1040,2,3,3,10
1041,2,3,2,7
1042,2,3,3,35
1043,2,3,3,26
1044,2,3,3,24
1045,2,3,3,49
1046,2,3,1,23
1047,2,3,3,44
1048,2,3,1,20
1049,2,3,2,15
1050,2,3,1,14
1051,2,3,1,18
1052,2,3,1,12
1053,0,2,0,10
1054,0,2,0,13
1055,0,2,1,49
1056,0,2,0,17
1057,0,2,1,53
1058,0,2,1,58
1059,0,2,2,29
1060,0,2,1,62
1061,0,2,3,1
1062,0,2,3,0
1063,0,2,1,66
1064,0,2,3,3
1065,0,2,0,4
1066,0,2,0,8
1067,0,2,3,5
1068,0,2,3,23
1069,0,2,3,7
1070,0,2,3,31
1071,0,2,3,29
1072,0,2,3,33
1073,0,2,3,37
1074,0,2,3,41
1075,0,2,3,35
1076,0,2,3,52
